acc_rating;amen;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price
9;[1, 2, 4, 5, 6, 8, 14, 15, 21, 27, 30, 31, 33, 34, 35, 36, 39, 43, 44, 45, 46, 47];Real Bed;3;10;10;9;90;10963158;True;False;10;37.791541430226786;-122.40647660280476;p3;2;9;Entire home/apt;12;9;4;250.0
10;[1, 2, 3, 4, 8, 27, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47];Real Bed;4;10;10;10;98;1970257;False;True;10;37.751140425960045;-122.40785876531595;p3;2;19;Entire home/apt;61;10;9;240.0
10;[1, 4, 5, 8, 30, 33, 34, 35, 36, 37, 40, 41, 43, 44, 45, 46, 47, 49, 50];Real Bed;3;10;10;10;100;14997426;True;False;10;37.79761249198705;-122.43106422715515;p3;2;12;Entire home/apt;15;10;2;250.0
9;[1, 2, 3, 4, 8, 9, 21, 27, 28, 30, 31, 33, 34, 35, 36, 37, 40, 41, 43, 44, 45, 46, 47, 50];Real Bed;5;10;10;10;91;9531201;False;False;8;37.78054107530683;-122.40462265739481;p3;4;11;Entire home/apt;105;8;14;250.0
10;[1, 2, 3, 4, 8, 30, 33, 34, 35, 39, 40, 41, 44, 45, 46];Real Bed;5;10;9;10;93;10923070;False;False;9;37.77447663494232;-122.50519373878461;p3;10;13;Entire home/apt;701;9;64;280.0
10;[1, 3, 4, 8, 30, 33, 34, 35, 36, 39, 40, 44, 46, 47, 49, 50];Real Bed;5;10;10;10;100;3594390;False;False;10;37.757104419922456;-122.39491100097793;p3;3;8;Entire home/apt;5;10;1;264.0
;[1, 3, 4, 8, 15, 21, 30, 33, 34, 35, 36, 39, 40, 41, 44, 45, 46, 47, 49, 50, 57];Real Bed;5;;;;;16529976;True;False;;37.77779275552789;-122.41572093438114;p3;2;4;Entire home/apt;1;;0;249.0
10;[1, 3, 4, 6, 8, 21, 27, 30, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50];Real Bed;4;10;10;10;100;7180020;True;True;9;37.77944945081055;-122.40381586283259;p3;3;23;Entire home/apt;872;10;85;269.0
10;[3, 4, 8, 30, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50];Real Bed;4;10;10;10;95;10586068;False;False;9;37.75845745886824;-122.40866539981121;p3;4;10;Entire home/apt;482;9;31;250.0
10;[1, 3, 4, 8, 9, 25, 27, 31, 33, 34, 35, 36, 37, 38, 40, 41, 43, 44, 45, 46, 47, 50];Real Bed;5;9;10;10;97;9089697;False;True;10;37.79808734912937;-122.4321861171226;p3;4;16;Entire home/apt;403;10;22;300.0
10;[1, 2, 3, 4, 8, 11, 12, 21, 27, 28, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41];Real Bed;3;10;9;10;96;232492;False;False;9;37.79064927907777;-122.41827987081314;p3;4;15;Entire home/apt;692;9;133;259.0
