roomID;acc_rating;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price;star_rating;amen1;amen2;amen3;amen4;amen5;amen6;amen7;amen8;amen9;amen10;amen11;amen12;amen13;amen14;amen15;amen16;amen17;amen18;amen19;amen20;amen21;amen22;amen23;amen24;amen25;amen26;amen27;amen28;amen29;amen30;amen31;amen32;amen33;amen34;amen35;amen36;amen37;amen38;amen39;amen40;amen41;amen42;amen43;amen44;amen45;amen46;amen47;amen48;amen49;amen50
12932903;10;Real Bed;4;10;10;10;100;12932903;True;True;10;37.77333997239155;-122.41973429459557;p3;1;25;Private room;68;10;18;169.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;True;False;True;False;False;True;True;True;True;False;True;False;True;False;False;True;True;False;True;True;False;True;True
8943055;10;Real Bed;5;10;10;10;100;8943055;True;True;10;37.767618393863316;-122.43747973509556;p3;2;22;Private room;136;10;17;185.0;5;True;False;True;True;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;False;False
7957587;10;Real Bed;4;10;10;10;99;7957587;True;True;10;37.75912537022761;-122.39644165624728;p3;2;7;Private room;155;10;17;155.0;5;True;False;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;False;True;True;True;False;True;True;True;True;True;False;False;True
6016017;10;Real Bed;4;10;10;10;99;6016017;True;True;10;37.796490572480096;-122.4340502814817;p3;2;8;Private room;334;10;71;175.0;5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;True;False;True;False;True;False;False;True;True;True;True;False;False;False
1589361;10;Real Bed;5;10;10;10;98;1589361;True;True;10;37.80271397467505;-122.41291869538686;p3;2;30;Private room;312;10;91;175.0;5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False
19040;10;Real Bed;5;10;10;10;95;19040;False;True;9;37.76348966609621;-122.41517400287555;p3;2;31;Private room;2249;9;209;188.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;False;True;True;True;False;True;True;True;True;True;False;True;True
15354291;10;Real Bed;4;10;10;10;94;15354291;True;False;9;37.7733544481957;-122.42366744936135;p3;2;9;Private room;123;10;10;175.0;4.5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;False;False;True;False;False;True;False;False;True;False;True;True
6993593;10;Real Bed;4;10;10;10;99;6993593;True;False;10;37.79569442370353;-122.41708197252399;p3;2;47;Private room;271;10;70;155.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False
1995487;10;Real Bed;5;10;10;10;99;1995487;False;False;10;37.75993537478795;-122.42137724568275;p3;3;13;Private room;3212;10;310;199.0;5;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True
16351934;9;Real Bed;5;10;9;9;93;16351934;False;False;9;37.761718866629494;-122.42348307335551;p3;2;9;Private room;2;9;3;175.0;4.5;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;True;True;True;False;False;True;True;True;False;False;True;False;False;False;False;True;True
3283447;10;Real Bed;4;10;10;10;96;3283447;True;False;10;37.77283145683413;-122.42988202919629;p3;2;27;Private room;957;9;138;155.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True
1999959;10;Real Bed;5;10;10;10;99;1999959;False;True;10;37.803995829066714;-122.4173885102152;p3;2;27;Private room;337;10;80;172.0;5;True;True;True;True;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True
16298221;10;Real Bed;3;10;10;10;100;16298221;True;False;10;37.7874242707555;-122.39134126278395;p3;2;29;Private room;39;10;4;155.0;5;True;True;True;True;True;False;False;True;False;False;False;False;False;True;True;False;True;True;False;False;True;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;True
7178670;10;Real Bed;5;10;10;10;97;7178670;True;True;10;37.77560650964501;-122.44090093020392;p3;6;20;Private room;699;9;116;159.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False
13901471;9;Real Bed;5;10;9;10;92;13901471;True;False;10;37.770301591887005;-122.45233959089218;p3;2;5;Private room;34;10;13;250.0;4.5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;True;True;False;False;False;False;True;True
13240929;10;Real Bed;5;10;9;10;96;13240929;True;True;10;37.77075139491698;-122.39426942156496;p3;4;52;Private room;125;9;45;260.0;5;True;False;True;True;False;False;True;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;False;True;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True
6092935;10;Real Bed;4;10;10;10;100;6092935;False;False;10;37.7969815368285;-122.44384179838298;p3;3;23;Private room;16;10;8;250.0;5;True;True;True;True;False;False;False;True;True;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;True;True
2468125;10;Real Bed;4;10;10;10;98;2468125;False;True;10;37.787159795389314;-122.40983493987348;p3;2;12;Private room;51;10;12;219.0;5;True;True;True;True;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;False;False;False
