room_id;acc_rating;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price;star_rating;amen_1;amen_2;amen_3;amen_4;amen_5;amen_6;amen_7;amen_8;amen_9;amen_10;amen_11;amen_12;amen_13;amen_14;amen_15;amen_16;amen_17;amen_18;amen_19;amen_20;amen_21;amen_22;amen_23;amen_24;amen_25;amen_26;amen_27;amen_28;amen_29;amen_30;amen_31;amen_32;amen_33;amen_34;amen_35;amen_36;amen_37;amen_38;amen_39;amen_40;amen_41;amen_42;amen_43;amen_44;amen_45;amen_46;amen_47;amen_48;amen_49;amen_50
16245771;9;Real Bed;5;10;10;10;97;16245771;True;False;10;37.688636049399506;-122.46342546067604;p3;2;6;Private room;64;10;6;38.0;5;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;True;True
9198763;10;Real Bed;3;10;10;10;98;9198763;False;False;9;37.84114852551706;-122.27434053621846;p3;1;1;Private room;62;10;9;34.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;False;True;False;False;False
13319551;10;Real Bed;3;10;9;10;97;13319551;False;False;9;37.842100506920865;-122.2639838721648;p3;2;14;Private room;46;10;7;40.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;True;False;False;False;False;False;False;False;True;False;True;False;False;True;False;True;True
14507316;8;Real Bed;4;9;8;10;72;14507316;False;False;6;37.81559286276208;-122.27334028134119;p3;4;2;Private room;13;8;5;30.0;3.5;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True
11084991;10;Real Bed;5;9;10;10;100;11084991;False;False;9;37.75879204221963;-122.19366969932317;p3;1;10;Private room;108;10;5;39.0;5;True;True;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;False;True;False;False;False;True;True;True;True;False;True;True
10746296;9;Real Bed;5;9;8;8;82;10746296;True;False;8;37.82247452329365;-122.28124683442968;p3;1;5;Private room;203;9;25;40.0;4;False;False;True;True;False;False;False;True;True;False;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;True;True;True;False;True;True;True;True;True;True;True;True;True;False;False;False
466422;10;Real Bed;3;10;10;10;97;466422;False;True;9;37.73378506567515;-122.13178163286571;p3;2;12;Private room;98;10;24;36.0;5;True;False;True;True;False;False;False;True;True;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False
13566467;9;Real Bed;5;9;9;9;90;13566467;False;False;8;37.811472779046106;-122.29293693404523;p3;1;21;Private room;120;9;23;40.0;4.5;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;True;True;False;False;True;False;False;False;True;False;False;False;False;True;True
13512916;10;Real Bed;4;10;10;10;96;13512916;False;True;9;37.7947590146989;-122.24374939768347;p3;1;6;Private room;78;10;34;34.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;True;True;True;True;True;True;True;False;True;True
14078631;10;Real Bed;4;10;10;10;98;14078631;False;False;9;37.81953385934766;-122.2694065027934;p3;1;9;Private room;32;10;9;40.0;5;False;False;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;True;False;False;False;True;True;True;False;True;False;False;True;False;True;True
